,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Of which Polyunsaturated,Iron,Omega 3,Vitamin A,Vitamin B12,Sodium,Vitamin D,Calcium,Of which Trans,Vitamin C,Selenium,Thiamin,Iodine,Potassium,Riboflavin,Vitamin E,Vitamin B6,Biotin,Copper,Of which Polyols,Manganese,Omega 6,Folic Acid,Niacin,Polyunsaturates,Salt Equivalent,Magnesium,Pathogenic Acid,Zinc,Of which Starch,Vitamin K,Chloride,Pantothenic Acid,Cholesterol,Of which Cholesterol,box,label-glued,shrinkwrap,Omega 9
5340,77g,342kcal,<0.5g,,0.1g,47g,6.6g,0.03g,Haribo Starmix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5341,59.1g,142kcal,0g,,0g,0g,0g,0g,Wrigley's Airwaves Menthol & Eucalyptus 6 Pack,,,,,,,,,,,,,,,,,,,,59.1g,,,,,,,,,,,,,,,,,,,
5342,78.8g,340kcal,Trace,3.9g,Trace,56.0g,4.2g,0.29g,Rowntrees fruit pastilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5343,75.3g,329kcal,<0.5g,<0.5g,0.0g,43.4g,6.7g,0.07g,Waitrose Alphabet Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5344,76g,324kcal,0g,,0g,62g,5.5g,0.3g,Dr.Oetker Heart Marshmallows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5345,59.1g,142kcal,0g,,0g,0g,0g,0g,Airwaves menthol & eucalyptus,,,,,,,,,,,,,,,,,,,,59.1g,,,,,,,,,,,,,,,,,,,
5346,83g,400kcal,"6,8g",,"6,8g",54g,"0,8g","0,03g",Fruit-tella Juicy Chews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5347,94g,240kcal,1.3g,,1.2g),0g),0g,0g,Peppersmith Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5348,78g,330kcal,<0.1,,<0.1,74g,3.5g,0.02g,Maynards Bassetts Jelly Babies Chicks Sweets Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5349,61.4g,147kcal,0g,,0g,0g,0g,0.06g,Wrigley's extra white 46 pieces,,,,,,,,,,,,,,,,,,,,61.4g,,,,,,,,,,,,,,,,,,,
5350,83.9g,405kcal,7.3g,,4.1g,83.1g,0g,0.01g,Starburst original fruit chews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5351,62.4g,536kcal,29.7g,0.7g,17.7g,62.1g,4.3g,0.22g,Aero Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
